specialite_1,specialite_2,of,pct_multi,stag_mean_tam
Développement des capacités comportementales et relationnelles,"Electricité, électronique (non compris automatisme et productique)",7,0.023507287259050304,207.5
Bâtiment: construction et couverture,"Nettoyage, assainissement, protection de l'environnement",7,0.023507287259050304,72.33333333333333
Bâtiment: construction et couverture,Santé,7,0.023507287259050304,92.0
"Energie, génie climatique","Productions végétales,cultures spécialisées",7,0.023507287259050304,366.0
Cuirs et peaux,Textile,7,0.023507287259050304,23.0
"Agro-alimentaire, alimentation, cuisine","Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",7,0.023507287259050304,134.0
"Commerce, vente","Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",7,0.023507287259050304,68.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Développement des capacités mentales et apprentissages de base,7,0.023507287259050304,0.0
"Documentation, bibliothèques, administration des données",Spécialités plurivalentes de la communication,7,0.023507287259050304,27.0
"Droit, sciences politiques","Nettoyage, assainissement, protection de l'environnement",7,0.023507287259050304,75.0
Bâtiment: finitions,"Matériaux de construction, verre, céramique",7,0.023507287259050304,372.0
"Informatique, traitement de l'information, réseaux de transmission des données","Musique, arts du spectacle",7,0.023507287259050304,157.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Spécialités plurivalentes des échanges et de la gestion,7,0.023507287259050304,228.0
"Documentation, bibliothèques, administration des données",Journalisme et communication,7,0.023507287259050304,0.0
"Droit, sciences politiques",Histoire,7,0.023507287259050304,0.0
Histoire,"Philosophie, éthique et théologie",7,0.023507287259050304,0.0
"Animation culturelle, sportive et de loisirs",Arts plastiques,7,0.023507287259050304,0.0
Arts plastiques,"Matériaux de construction, verre, céramique",7,0.023507287259050304,0.0
"Enseignement, formation",Sciences de la vie,7,0.023507287259050304,0.0
"Nettoyage, assainissement, protection de l'environnement",Sciences de la terre,7,0.023507287259050304,0.0
"Energie, génie climatique",Sciences de la terre,7,0.023507287259050304,0.0
Sciences de la terre,"Sciences sociales (y compris démographie, anthropologie)",7,0.023507287259050304,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Comptabilité, gestion",7,0.023507287259050304,10.0
"Enseignement, formation",Technologies industrielles fondamentales,7,0.023507287259050304,48.0
Mécanique aéronautique et spatiale,"Spécialités plutitechnologiques, mécanique-électricité",7,0.023507287259050304,0.0
"Animation culturelle, sportive et de loisirs",Spécialités concernant plusieurs capacités,7,0.023507287259050304,57.0
"Langues vivantes, civilisations étrangères et régionales",Pratiques sportives,7,0.023507287259050304,18.0
"Droit, sciences politiques","Transport, manutention, magasinage",7,0.023507287259050304,0.0
"Droit, sciences politiques","Musique, arts du spectacle",7,0.023507287259050304,134.0
Géographie,"Informatique, traitement de l'information, réseaux de transmission des données",7,0.023507287259050304,0.0
Autres...,Moteurs et mécanique auto,7,0.023507287259050304,1174.0
Mécanique aéronautique et spatiale,"Transport, manutention, magasinage",7,0.023507287259050304,0.0
"Aménagement du territoire, développement, urbanisme","Finances, banque, assurances",7,0.023507287259050304,0.0
"Français, littérature et civilisation françaises","Musique, arts du spectacle",7,0.023507287259050304,548.0
"Langues vivantes, civilisations étrangères et régionales","Musique, arts du spectacle",7,0.023507287259050304,37.0
Spécialités concernant plusieurs capacités,Spécialités plurivalentes des services à la collectivité,7,0.023507287259050304,0.0
"Ressources humaines, gestion du personnel, gestion de l'emploi",Spécialités pluriscientifiques,7,0.023507287259050304,65.0
"Animation culturelle, sportive et de loisirs","Nettoyage, assainissement, protection de l'environnement",7,0.023507287259050304,200.0
"Chimie-biologie, biochimie",Sciences naturelles (Biologie-Géologie),7,0.023507287259050304,0.0
Pratiques sportives,"Transport, manutention, magasinage",7,0.023507287259050304,0.0
Economie,"Energie, génie climatique",7,0.023507287259050304,0.0
Développement des capacités individuelles d'organisation,"Langues vivantes, civilisations étrangères et régionales",7,0.023507287259050304,0.0
"Chimie-biologie, biochimie",Physique-chimie,7,0.023507287259050304,0.0
"Mathématiques, statistiques",Sciences naturelles (Biologie-Géologie),7,0.023507287259050304,49.0
"Droit, sciences politiques",Spécialités plurivalentes des services,7,0.023507287259050304,83.0
"Electricité, électronique (non compris automatisme et productique)",Spécialités plurivalentes de la communication,7,0.023507287259050304,24.0
Développement des capacités mentales et apprentissages de base,Journalisme et communication,7,0.023507287259050304,0.0
Autres...,"Habillement (y compris mode, couture)",7,0.023507287259050304,0.0
Mécanique aéronautique et spatiale,"Mécanique générale et de précision, usinage",7,0.023507287259050304,156.0
"Animation culturelle, sportive et de loisirs","Comptabilité, gestion",7,0.023507287259050304,81.5
Economie,Histoire,7,0.023507287259050304,0.0
"Droit, sciences politiques",Spécialités concernant plusieurs capacités,7,0.023507287259050304,569.5
Développement des capacités individuelles d'organisation,Spécialités plurivalentes sanitaires et sociales,7,0.023507287259050304,478.0
"Spécialités pluridisciplinaires, sciences humaines et droit",Travail social,7,0.023507287259050304,355.5
"Electricité, électronique (non compris automatisme et productique)","Techniques de l'image et du son, métiers connexes du spectacle",7,0.023507287259050304,296.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Textile,7,0.023507287259050304,64.0
"Chimie-biologie, biochimie","Mathématiques, statistiques",7,0.023507287259050304,0.0
Santé,Sciences naturelles (Biologie-Géologie),7,0.023507287259050304,0.0
Développement des capacités individuelles d'organisation,Psychologie,7,0.023507287259050304,0.0
"Aménagement du territoire, développement, urbanisme","Spécialités pluritechnologiques, génie civil, construction, bois",7,0.023507287259050304,0.0
"Secrétariat, bureautique","Spécialités pluridisciplinaires, sciences humaines et droit",7,0.023507287259050304,98.0
Linguistique,Psychologie,7,0.023507287259050304,0.0
Textile,Travail du bois et de l'ameublement,7,0.023507287259050304,0.0
Spécialités plurivalentes de l'agronomie et de l'agriculture,Technologies industrielles fondamentales,7,0.023507287259050304,0.0
Pratiques sportives,Sciences de la vie,7,0.023507287259050304,0.0
"Aménagement du territoire, développement, urbanisme","Forêts, espaces naturels, faune sauvage, pêche",7,0.023507287259050304,136.0
Psychologie,Spécialités concernant plusieurs capacités,7,0.023507287259050304,445.0
Linguistique,Spécialités plurivalentes des services,7,0.023507287259050304,187.0
"Animation culturelle, sportive et de loisirs","Transport, manutention, magasinage",7,0.023507287259050304,0.0
Pratiques sportives,"Productions animales, élevage spécialisé, aquaculture, ...",7,0.023507287259050304,124.5
Application des droits et statuts des personnes,Santé,7,0.023507287259050304,1715.0
Bâtiment: finitions,"Enseignement, formation",7,0.023507287259050304,0.0
"Documentation, bibliothèques, administration des données","Enseignement, formation",7,0.023507287259050304,0.0
"Informatique, traitement de l'information, réseaux de transmission des données",Spécialités concernant plusieurs capacités,7,0.023507287259050304,691.0
"Enseignement, formation",Spécialités plurivalentes de l'agronomie et de l'agriculture,7,0.023507287259050304,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Pratiques sportives,7,0.023507287259050304,39.0
"Informatique, traitement de l'information, réseaux de transmission des données",Moteurs et mécanique auto,7,0.023507287259050304,1344.0
Formations générales,Sciences naturelles (Biologie-Géologie),7,0.023507287259050304,0.0
"Commerce, vente",Transformations chimiques et apparentées (y compris pharmaceutiques),7,0.023507287259050304,85.0
Formations générales,Spécialités plurivalentes des services à la collectivité,7,0.023507287259050304,94.0
"Comptabilité, gestion",Pratiques sportives,7,0.023507287259050304,0.0
"Electricité, électronique (non compris automatisme et productique)","Nettoyage, assainissement, protection de l'environnement",7,0.023507287259050304,473.0
"Commerce, vente",Spécialités pluritechnologiques des transformations,7,0.023507287259050304,118.0
Formations générales,Transformations chimiques et apparentées (y compris pharmaceutiques),7,0.023507287259050304,424.0
"Animation culturelle, sportive et de loisirs","Forêts, espaces naturels, faune sauvage, pêche",7,0.023507287259050304,67.0
"Finances, banque, assurances",Santé,7,0.023507287259050304,1113.0
Développement des capacités comportementales et relationnelles,Spécialités pluriscientifiques,7,0.023507287259050304,0.0
"Secrétariat, bureautique","Vie familiale, vie sociale et autres formations au développement personnel",7,0.023507287259050304,0.0
"Langues vivantes, civilisations étrangères et régionales","Spécialités plutitechnologiques, mécanique-électricité",7,0.023507287259050304,120.0
"Commerce, vente","Plasturgie, matériaux composites",7,0.023507287259050304,185.0
"Aménagement paysager (parcs, jardins, espaces verts)","Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",7,0.023507287259050304,43.0
"Aménagement paysager (parcs, jardins, espaces verts)",Travail social,7,0.023507287259050304,114.0
"Comptabilité, gestion","Forêts, espaces naturels, faune sauvage, pêche",7,0.023507287259050304,126.33333333333333
Linguistique,"Spécialités pluritechnologiques, génie civil, construction, bois",7,0.023507287259050304,223.5
"Finances, banque, assurances",Technologies industrielles fondamentales,7,0.023507287259050304,90.5
Moteurs et mécanique auto,"Ressources humaines, gestion du personnel, gestion de l'emploi",7,0.023507287259050304,683.0
Bâtiment: construction et couverture,Technologies industrielles fondamentales,7,0.023507287259050304,0.0
"Agro-alimentaire, alimentation, cuisine","Mécanique générale et de précision, usinage",7,0.023507287259050304,250.0
"Forêts, espaces naturels, faune sauvage, pêche",Spécialités plurivalentes sanitaires et sociales,7,0.023507287259050304,0.0
